TIMESTAMP: 0.000000, X: 1.530195, Y: 3.781328, Z: -1.958446, PITCH: 0.234877, YAW: -0.634023
TIMESTAMP: 0.100000, X: 1.530195, Y: 3.781329, Z: -1.958446, PITCH: 0.236050, YAW: -0.637190
TIMESTAMP: 0.200000, X: 1.530204, Y: 3.781335, Z: -1.958448, PITCH: 0.242316, YAW: -0.654103
TIMESTAMP: 0.300000, X: 1.530242, Y: 3.781364, Z: -1.958459, PITCH: 0.247915, YAW: -0.669215
TIMESTAMP: 0.400000, X: 1.530340, Y: 3.781441, Z: -1.958488, PITCH: 0.249754, YAW: -0.674182
TIMESTAMP: 0.500000, X: 1.530540, Y: 3.781603, Z: -1.958550, PITCH: 0.252398, YAW: -0.681321
TIMESTAMP: 0.600000, X: 1.530892, Y: 3.781897, Z: -1.958663, PITCH: 0.257193, YAW: -0.694262
TIMESTAMP: 0.700000, X: 1.531452, Y: 3.782379, Z: -1.958852, PITCH: 0.261497, YAW: -0.705877
TIMESTAMP: 0.800000, X: 1.532282, Y: 3.783115, Z: -1.959145, PITCH: 0.264632, YAW: -0.714342
TIMESTAMP: 0.900000, X: 1.533448, Y: 3.784179, Z: -1.959575, PITCH: 0.268037, YAW: -0.723538
TIMESTAMP: 1.000000, X: 1.535018, Y: 3.785656, Z: -1.960179, PITCH: 0.272070, YAW: -0.734422
TIMESTAMP: 1.100000, X: 1.537062, Y: 3.787637, Z: -1.961000, PITCH: 0.275958, YAW: -0.744913
TIMESTAMP: 1.200000, X: 1.539652, Y: 3.790222, Z: -1.962083, PITCH: 0.279509, YAW: -0.754502
TIMESTAMP: 1.300000, X: 1.542858, Y: 3.793518, Z: -1.963480, PITCH: 0.283138, YAW: -0.764301
TIMESTAMP: 1.400000, X: 1.546749, Y: 3.797638, Z: -1.965246, PITCH: 0.286948, YAW: -0.774582
TIMESTAMP: 1.500000, X: 1.551394, Y: 3.802703, Z: -1.967440, PITCH: 0.290715, YAW: -0.784750
TIMESTAMP: 1.600000, X: 1.556857, Y: 3.808838, Z: -1.970125, PITCH: 0.294386, YAW: -0.794661
TIMESTAMP: 1.700000, X: 1.563201, Y: 3.816173, Z: -1.973367, PITCH: 0.298080, YAW: -0.804633
TIMESTAMP: 1.800000, X: 1.570483, Y: 3.824844, Z: -1.977235, PITCH: 0.301825, YAW: -0.814741
TIMESTAMP: 1.900000, X: 1.578758, Y: 3.834990, Z: -1.981802, PITCH: 0.305558, YAW: -0.824818
TIMESTAMP: 2.000000, X: 1.588075, Y: 3.846753, Z: -1.987143, PITCH: 0.309264, YAW: -0.834821
TIMESTAMP: 2.100000, X: 1.598478, Y: 3.860276, Z: -1.993336, PITCH: 0.312976, YAW: -0.844842
TIMESTAMP: 2.200000, X: 1.610006, Y: 3.875706, Z: -2.000460, PITCH: 0.316702, YAW: -0.854901
TIMESTAMP: 2.300000, X: 1.622694, Y: 3.893190, Z: -2.008596, PITCH: 0.320426, YAW: -0.864951
TIMESTAMP: 2.400000, X: 1.636569, Y: 3.912875, Z: -2.017826, PITCH: 0.324141, YAW: -0.874981
TIMESTAMP: 2.500000, X: 1.651654, Y: 3.934909, Z: -2.028233, PITCH: 0.327858, YAW: -0.885015
TIMESTAMP: 2.600000, X: 1.667964, Y: 3.959437, Z: -2.039900, PITCH: 0.331580, YAW: -0.895061
TIMESTAMP: 2.700000, X: 1.685512, Y: 3.986603, Z: -2.052911, PITCH: 0.335300, YAW: -0.905103
TIMESTAMP: 2.800000, X: 1.704301, Y: 4.016550, Z: -2.067349, PITCH: 0.339018, YAW: -0.915140
TIMESTAMP: 2.900000, X: 1.724331, Y: 4.049415, Z: -2.083296, PITCH: 0.342737, YAW: -0.925179
TIMESTAMP: 3.000000, X: 1.745595, Y: 4.085332, Z: -2.100833, PITCH: 0.346457, YAW: -0.935220
TIMESTAMP: 3.100000, X: 1.768082, Y: 4.124431, Z: -2.120038, PITCH: 0.350177, YAW: -0.945261
TIMESTAMP: 3.200000, X: 1.791776, Y: 4.166837, Z: -2.140988, PITCH: 0.353896, YAW: -0.955300
TIMESTAMP: 3.300000, X: 1.816653, Y: 4.212667, Z: -2.163758, PITCH: 0.357615, YAW: -0.965340
TIMESTAMP: 3.400000, X: 1.842688, Y: 4.262032, Z: -2.188419, PITCH: 0.361334, YAW: -0.975380
TIMESTAMP: 3.500000, X: 1.869849, Y: 4.315037, Z: -2.215038, PITCH: 0.365054, YAW: -0.985420
TIMESTAMP: 3.600000, X: 1.898102, Y: 4.371777, Z: -2.243679, PITCH: 0.368773, YAW: -0.995460
TIMESTAMP: 3.700000, X: 1.927408, Y: 4.432338, Z: -2.274400, PITCH: 0.372492, YAW: -1.005500
TIMESTAMP: 3.800000, X: 1.957725, Y: 4.496799, Z: -2.307257, PITCH: 0.376212, YAW: -1.015540
TIMESTAMP: 3.900000, X: 1.989007, Y: 4.565226, Z: -2.342299, PITCH: 0.379931, YAW: -1.025579
TIMESTAMP: 4.000000, X: 2.021208, Y: 4.637677, Z: -2.379568, PITCH: 0.383650, YAW: -1.035619
TIMESTAMP: 4.100000, X: 2.054277, Y: 4.714199, Z: -2.419103, PITCH: 0.387370, YAW: -1.045661
TIMESTAMP: 4.200000, X: 2.088163, Y: 4.794825, Z: -2.460934, PITCH: 0.391089, YAW: -1.055699
TIMESTAMP: 4.300000, X: 2.122813, Y: 4.879577, Z: -2.505085, PITCH: 0.394807, YAW: -1.065736
TIMESTAMP: 4.400000, X: 2.158174, Y: 4.968466, Z: -2.551574, PITCH: 0.398528, YAW: -1.075779
TIMESTAMP: 4.500000, X: 2.194192, Y: 5.061488, Z: -2.600409, PITCH: 0.402249, YAW: -1.085825
TIMESTAMP: 4.600000, X: 2.230812, Y: 5.158628, Z: -2.651594, PITCH: 0.405966, YAW: -1.095859
TIMESTAMP: 4.700000, X: 2.267982, Y: 5.259855, Z: -2.705121, PITCH: 0.409681, YAW: -1.105887
TIMESTAMP: 4.800000, X: 2.305650, Y: 5.365126, Z: -2.760977, PITCH: 0.413405, YAW: -1.115939
TIMESTAMP: 4.900000, X: 2.343764, Y: 5.474381, Z: -2.819137, PITCH: 0.417133, YAW: -1.126001
TIMESTAMP: 5.000000, X: 2.382275, Y: 5.587550, Z: -2.879569, PITCH: 0.420844, YAW: -1.136019
TIMESTAMP: 5.100000, X: 2.421136, Y: 5.704545, Z: -2.942233, PITCH: 0.424547, YAW: -1.146016
TIMESTAMP: 5.200000, X: 2.460303, Y: 5.825265, Z: -3.007079, PITCH: 0.428282, YAW: -1.156098
TIMESTAMP: 5.300000, X: 2.499736, Y: 5.949593, Z: -3.074047, PITCH: 0.432031, YAW: -1.166217
TIMESTAMP: 5.400000, X: 2.539395, Y: 6.077398, Z: -3.143068, PITCH: 0.435721, YAW: -1.176178
TIMESTAMP: 5.500000, X: 2.579247, Y: 6.208535, Z: -3.214064, PITCH: 0.439385, YAW: -1.186071
TIMESTAMP: 5.600000, X: 2.619263, Y: 6.342844, Z: -3.286946, PITCH: 0.443160, YAW: -1.196258
TIMESTAMP: 5.700000, X: 2.659415, Y: 6.480151, Z: -3.361619, PITCH: 0.446981, YAW: -1.206573
TIMESTAMP: 5.800000, X: 2.699685, Y: 6.620267, Z: -3.437975, PITCH: 0.450598, YAW: -1.216338
TIMESTAMP: 5.900000, X: 2.740054, Y: 6.762989, Z: -3.515898, PITCH: 0.454130, YAW: -1.225873
TIMESTAMP: 6.000000, X: 2.780513, Y: 6.908103, Z: -3.595263, PITCH: 0.458037, YAW: -1.236418
TIMESTAMP: 6.100000, X: 2.821054, Y: 7.055379, Z: -3.675936, PITCH: 0.462076, YAW: -1.247322
TIMESTAMP: 6.200000, X: 2.861678, Y: 7.204576, Z: -3.757773, PITCH: 0.465476, YAW: -1.256498
TIMESTAMP: 6.300000, X: 2.902390, Y: 7.355442, Z: -3.840624, PITCH: 0.469055, YAW: -1.266161
TIMESTAMP: 6.400000, X: 2.943199, Y: 7.507711, Z: -3.924328, PITCH: 0.474885, YAW: -1.281897
TIMESTAMP: 6.500000, X: 2.984122, Y: 7.661109, Z: -4.008718, PITCH: 0.482705, YAW: -1.303005
TIMESTAMP: 6.600000, X: 3.025178, Y: 7.815352, Z: -4.093618, PITCH: 0.490329, YAW: -1.323586
TIMESTAMP: 6.700000, X: 3.066395, Y: 7.970145, Z: -4.178846, PITCH: 0.497070, YAW: -1.341782
TIMESTAMP: 6.800000, X: 3.107804, Y: 8.125188, Z: -4.264214, PITCH: 0.503867, YAW: -1.360131
TIMESTAMP: 6.900000, X: 3.149441, Y: 8.280173, Z: -4.349527, PITCH: 0.511117, YAW: -1.379703
TIMESTAMP: 7.000000, X: 3.191347, Y: 8.434785, Z: -4.434585, PITCH: 0.518343, YAW: -1.399205
TIMESTAMP: 7.100000, X: 3.233566, Y: 8.588707, Z: -4.519184, PITCH: 0.525328, YAW: -1.418063
TIMESTAMP: 7.200000, X: 3.276149, Y: 8.741616, Z: -4.603114, PITCH: 0.532328, YAW: -1.436957
TIMESTAMP: 7.300000, X: 3.319148, Y: 8.893187, Z: -4.686163, PITCH: 0.539453, YAW: -1.456191
TIMESTAMP: 7.400000, X: 3.362619, Y: 9.043096, Z: -4.768117, PITCH: 0.546570, YAW: -1.475406
TIMESTAMP: 7.500000, X: 3.406622, Y: 9.191017, Z: -4.848758, PITCH: 0.553623, YAW: -1.494442
TIMESTAMP: 7.600000, X: 3.451218, Y: 9.336626, Z: -4.927869, PITCH: 0.560683, YAW: -1.513491
TIMESTAMP: 7.700000, X: 3.496473, Y: 9.479602, Z: -5.005230, PITCH: 0.567771, YAW: -1.532629
TIMESTAMP: 7.800000, X: 3.542450, Y: 9.619628, Z: -5.080623, PITCH: 0.574851, YAW: -1.551757
TIMESTAMP: 7.900000, X: 3.589218, Y: 9.756392, Z: -5.153831, PITCH: 0.581926, YAW: -1.570847
TIMESTAMP: 8.000000, X: 3.636844, Y: 9.889589, Z: -5.224639, PITCH: 0.589015, YAW: -1.589950
TIMESTAMP: 8.100000, X: 3.685396, Y: 10.018921, Z: -5.292833, PITCH: 0.596086, YAW: -1.609056
TIMESTAMP: 8.200000, X: 3.734942, Y: 10.144101, Z: -5.358204, PITCH: 0.603133, YAW: -1.628139
TIMESTAMP: 8.300000, X: 3.785549, Y: 10.264851, Z: -5.420547, PITCH: 0.610227, YAW: -1.647255
TIMESTAMP: 8.400000, X: 3.837283, Y: 10.380903, Z: -5.479661, PITCH: 0.617366, YAW: -1.666410
TIMESTAMP: 8.500000, X: 3.890210, Y: 10.492004, Z: -5.535351, PITCH: 0.624408, YAW: -1.685486
TIMESTAMP: 8.600000, X: 3.944391, Y: 10.597915, Z: -5.587428, PITCH: 0.631368, YAW: -1.704488
TIMESTAMP: 8.700000, X: 3.999887, Y: 10.698409, Z: -5.635713, PITCH: 0.638512, YAW: -1.723650
TIMESTAMP: 8.800000, X: 4.056755, Y: 10.793278, Z: -5.680030, PITCH: 0.645811, YAW: -1.742950
TIMESTAMP: 8.900000, X: 4.115050, Y: 10.882328, Z: -5.720214, PITCH: 0.652762, YAW: -1.761943
TIMESTAMP: 9.000000, X: 4.174822, Y: 10.965385, Z: -5.756110, PITCH: 0.659426, YAW: -1.780678
TIMESTAMP: 9.100000, X: 4.236117, Y: 11.042292, Z: -5.787571, PITCH: 0.666739, YAW: -1.799994
TIMESTAMP: 9.200000, X: 4.298977, Y: 11.112912, Z: -5.814461, PITCH: 0.674579, YAW: -1.819782
TIMESTAMP: 9.300000, X: 4.363440, Y: 11.177126, Z: -5.836653, PITCH: 0.681217, YAW: -1.838492
TIMESTAMP: 9.400000, X: 4.429539, Y: 11.234838, Z: -5.854034, PITCH: 0.686958, YAW: -1.856395
TIMESTAMP: 9.500000, X: 4.497302, Y: 11.285969, Z: -5.866501, PITCH: 0.694840, YAW: -1.876222
TIMESTAMP: 9.600000, X: 4.566749, Y: 11.330465, Z: -5.873962, PITCH: 0.703167, YAW: -1.896452
TIMESTAMP: 9.700000, X: 4.637899, Y: 11.368289, Z: -5.876339, PITCH: 0.704088, YAW: -1.910011
TIMESTAMP: 9.800000, X: 4.710761, Y: 11.399430, Z: -5.873566, PITCH: 0.696486, YAW: -1.915892
TIMESTAMP: 9.900000, X: 4.785343, Y: 11.423894, Z: -5.865590, PITCH: 0.688213, YAW: -1.921170
TIMESTAMP: 10.000000, X: 4.861644, Y: 11.441711, Z: -5.852369, PITCH: 0.683416, YAW: -1.929578
TIMESTAMP: 10.100000, X: 4.939657, Y: 11.452929, Z: -5.833875, PITCH: 0.679118, YAW: -1.938436
TIMESTAMP: 10.200000, X: 5.019373, Y: 11.457618, Z: -5.810095, PITCH: 0.673067, YAW: -1.945714
TIMESTAMP: 10.300000, X: 5.100774, Y: 11.455869, Z: -5.781027, PITCH: 0.666735, YAW: -1.952740
TIMESTAMP: 10.400000, X: 5.183838, Y: 11.447790, Z: -5.746680, PITCH: 0.661327, YAW: -1.960598
TIMESTAMP: 10.500000, X: 5.268540, Y: 11.433509, Z: -5.707079, PITCH: 0.656073, YAW: -1.968593
TIMESTAMP: 10.600000, X: 5.354848, Y: 11.413170, Z: -5.662260, PITCH: 0.650324, YAW: -1.976145
TIMESTAMP: 10.700000, X: 5.442724, Y: 11.386937, Z: -5.612271, PITCH: 0.644494, YAW: -1.983623
TIMESTAMP: 10.800000, X: 5.532130, Y: 11.354988, Z: -5.557173, PITCH: 0.638928, YAW: -1.991338
