TIMESTAMP: 0.000000, X: -0.093573, Y: -0.281747, Z: -3.997270, PITCH: 0.610865, YAW: 0.586612
TIMESTAMP: 0.100000, X: -0.093574, Y: -0.281747, Z: -3.997272, PITCH: 0.613693, YAW: 0.589328
TIMESTAMP: 0.200000, X: -0.093596, Y: -0.281737, Z: -3.997309, PITCH: 0.628791, YAW: 0.603827
TIMESTAMP: 0.300000, X: -0.093689, Y: -0.281698, Z: -3.997462, PITCH: 0.642283, YAW: 0.616783
TIMESTAMP: 0.400000, X: -0.093928, Y: -0.281597, Z: -3.997860, PITCH: 0.646718, YAW: 0.621042
TIMESTAMP: 0.500000, X: -0.094413, Y: -0.281394, Z: -3.998670, PITCH: 0.653090, YAW: 0.627161
TIMESTAMP: 0.600000, X: -0.095257, Y: -0.281043, Z: -4.000091, PITCH: 0.664644, YAW: 0.638256
TIMESTAMP: 0.700000, X: -0.096589, Y: -0.280493, Z: -4.002346, PITCH: 0.675013, YAW: 0.648214
TIMESTAMP: 0.800000, X: -0.098545, Y: -0.279693, Z: -4.005680, PITCH: 0.682570, YAW: 0.655471
TIMESTAMP: 0.900000, X: -0.101265, Y: -0.278589, Z: -4.010350, PITCH: 0.690779, YAW: 0.663354
TIMESTAMP: 1.000000, X: -0.104893, Y: -0.277132, Z: -4.016621, PITCH: 0.700497, YAW: 0.672686
TIMESTAMP: 1.100000, X: -0.109567, Y: -0.275271, Z: -4.024762, PITCH: 0.709863, YAW: 0.681681
TIMESTAMP: 1.200000, X: -0.115423, Y: -0.272963, Z: -4.035043, PITCH: 0.718423, YAW: 0.689900
TIMESTAMP: 1.300000, X: -0.122589, Y: -0.270168, Z: -4.047728, PITCH: 0.727171, YAW: 0.698301
TIMESTAMP: 1.400000, X: -0.131182, Y: -0.266853, Z: -4.063074, PITCH: 0.736350, YAW: 0.707115
TIMESTAMP: 1.500000, X: -0.141310, Y: -0.262992, Z: -4.081323, PITCH: 0.745428, YAW: 0.715833
TIMESTAMP: 1.600000, X: -0.153064, Y: -0.258565, Z: -4.102707, PITCH: 0.754276, YAW: 0.724330
TIMESTAMP: 1.700000, X: -0.166521, Y: -0.253562, Z: -4.127439, PITCH: 0.763178, YAW: 0.732878
TIMESTAMP: 1.800000, X: -0.181742, Y: -0.247980, Z: -4.155711, PITCH: 0.772202, YAW: 0.741545
TIMESTAMP: 1.900000, X: -0.198769, Y: -0.241827, Z: -4.187695, PITCH: 0.781199, YAW: 0.750183
TIMESTAMP: 2.000000, X: -0.217627, Y: -0.235116, Z: -4.223540, PITCH: 0.790129, YAW: 0.758759
TIMESTAMP: 2.100000, X: -0.238319, Y: -0.227873, Z: -4.263370, PITCH: 0.799075, YAW: 0.767350
TIMESTAMP: 2.200000, X: -0.260830, Y: -0.220131, Z: -4.307284, PITCH: 0.808055, YAW: 0.775974
TIMESTAMP: 2.300000, X: -0.285125, Y: -0.211933, Z: -4.355352, PITCH: 0.817028, YAW: 0.784590
TIMESTAMP: 2.400000, X: -0.311148, Y: -0.203329, Z: -4.407619, PITCH: 0.825982, YAW: 0.793189
TIMESTAMP: 2.500000, X: -0.338822, Y: -0.194378, Z: -4.464101, PITCH: 0.834940, YAW: 0.801791
TIMESTAMP: 2.600000, X: -0.368052, Y: -0.185149, Z: -4.524787, PITCH: 0.843908, YAW: 0.810403
TIMESTAMP: 2.700000, X: -0.398721, Y: -0.175714, Z: -4.589638, PITCH: 0.852874, YAW: 0.819013
TIMESTAMP: 2.800000, X: -0.430695, Y: -0.166156, Z: -4.658588, PITCH: 0.861835, YAW: 0.827618
TIMESTAMP: 2.900000, X: -0.463819, Y: -0.156563, Z: -4.731541, PITCH: 0.870796, YAW: 0.836224
TIMESTAMP: 3.000000, X: -0.497923, Y: -0.147026, Z: -4.808378, PITCH: 0.879761, YAW: 0.844833
TIMESTAMP: 3.100000, X: -0.532818, Y: -0.137645, Z: -4.888953, PITCH: 0.888725, YAW: 0.853441
TIMESTAMP: 3.200000, X: -0.568301, Y: -0.128522, Z: -4.973095, PITCH: 0.897687, YAW: 0.862047
TIMESTAMP: 3.300000, X: -0.604154, Y: -0.119761, Z: -5.060610, PITCH: 0.906650, YAW: 0.870655
TIMESTAMP: 3.400000, X: -0.640145, Y: -0.111470, Z: -5.151281, PITCH: 0.915614, YAW: 0.879262
TIMESTAMP: 3.500000, X: -0.676030, Y: -0.103758, Z: -5.244871, PITCH: 0.924577, YAW: 0.887869
TIMESTAMP: 3.600000, X: -0.711556, Y: -0.096735, Z: -5.341123, PITCH: 0.933540, YAW: 0.896477
TIMESTAMP: 3.700000, X: -0.746458, Y: -0.090508, Z: -5.439763, PITCH: 0.942503, YAW: 0.905085
TIMESTAMP: 3.800000, X: -0.780467, Y: -0.085186, Z: -5.540501, PITCH: 0.951467, YAW: 0.913692
TIMESTAMP: 3.900000, X: -0.813306, Y: -0.080873, Z: -5.643032, PITCH: 0.960430, YAW: 0.922298
TIMESTAMP: 4.000000, X: -0.844694, Y: -0.077670, Z: -5.747038, PITCH: 0.969393, YAW: 0.930906
TIMESTAMP: 4.100000, X: -0.874347, Y: -0.075675, Z: -5.852193, PITCH: 0.978356, YAW: 0.939516
TIMESTAMP: 4.200000, X: -0.901981, Y: -0.074978, Z: -5.958162, PITCH: 0.987320, YAW: 0.948121
TIMESTAMP: 4.300000, X: -0.927313, Y: -0.075665, Z: -6.064602, PITCH: 0.996284, YAW: 0.956724
TIMESTAMP: 4.400000, X: -0.950063, Y: -0.077812, Z: -6.171168, PITCH: 1.005246, YAW: 0.965336
TIMESTAMP: 4.500000, X: -0.969954, Y: -0.081489, Z: -6.277512, PITCH: 1.014208, YAW: 0.973952
TIMESTAMP: 4.600000, X: -0.986716, Y: -0.086756, Z: -6.383285, PITCH: 1.023172, YAW: 0.982550
TIMESTAMP: 4.700000, X: -1.000087, Y: -0.093660, Z: -6.488142, PITCH: 1.032138, YAW: 0.991142
TIMESTAMP: 4.800000, X: -1.009815, Y: -0.102242, Z: -6.591741, PITCH: 1.041099, YAW: 0.999765
TIMESTAMP: 4.900000, X: -1.015659, Y: -0.112526, Z: -6.693747, PITCH: 1.050057, YAW: 1.008402
TIMESTAMP: 5.000000, X: -1.017391, Y: -0.124526, Z: -6.793833, PITCH: 1.059025, YAW: 1.016980
TIMESTAMP: 5.100000, X: -1.014799, Y: -0.138243, Z: -6.891682, PITCH: 1.067998, YAW: 1.025531
