TIMESTAMP: 0.000000, X: -1.000000, Y: 0.000000, Z: 1.050000, PITCH: 0.000000, YAW: -3.141593
TIMESTAMP: 0.100000, X: -0.983193, Y: 0.183847, Z: 1.033780, PITCH: 0.000000, YAW: -2.965593
TIMESTAMP: 0.200000, X: -0.966387, Y: 0.362014, Z: 0.985620, PITCH: 0.000000, YAW: -2.789593
TIMESTAMP: 0.300000, X: -0.949580, Y: 0.528996, Z: 0.907008, PITCH: 0.000000, YAW: -2.613594
TIMESTAMP: 0.400000, X: -0.932773, Y: 0.679634, Z: 0.800373, PITCH: 0.000000, YAW: -2.437594
TIMESTAMP: 0.500000, X: -0.915966, Y: 0.809274, Z: 0.669010, PITCH: 0.000000, YAW: -2.261595
TIMESTAMP: 0.600000, X: -0.899160, Y: 0.913911, Z: 0.516978, PITCH: 0.000000, YAW: -2.085595
TIMESTAMP: 0.700000, X: -0.882353, Y: 0.990312, Z: 0.348973, PITCH: 0.000000, YAW: -1.909596
TIMESTAMP: 0.800000, X: -0.865546, Y: 1.036116, Z: 0.170186, PITCH: 0.000000, YAW: -1.733596
TIMESTAMP: 0.900000, X: -0.848739, Y: 1.049909, Z: -0.013860, PITCH: 0.000000, YAW: -1.557596
TIMESTAMP: 1.000000, X: -0.831933, Y: 1.031263, Z: -0.197476, PITCH: 0.000000, YAW: -1.381597
TIMESTAMP: 1.100000, X: -0.815126, Y: 0.980755, Z: -0.374992, PITCH: 0.000000, YAW: -1.205597
TIMESTAMP: 1.200000, X: -0.798319, Y: 0.899946, Z: -0.540922, PITCH: 0.000000, YAW: -1.029598
TIMESTAMP: 1.300000, X: -0.781513, Y: 0.791333, Z: -0.690140, PITCH: 0.000000, YAW: -0.853598
TIMESTAMP: 1.400000, X: -0.764706, Y: 0.658270, Z: -0.818035, PITCH: 0.000000, YAW: -0.677598
TIMESTAMP: 1.500000, X: -0.747899, Y: 0.504869, Z: -0.920656, PITCH: 0.000000, YAW: -0.501599
TIMESTAMP: 1.600000, X: -0.731092, Y: 0.335870, Z: -0.994832, PITCH: 0.000000, YAW: -0.325599
TIMESTAMP: 1.700000, X: -0.714286, Y: 0.156494, Z: -1.038272, PITCH: 0.000000, YAW: -0.149600
